"","patient","name","TN","FN","FP","TP","classification","value","model"
"1","1","BioMed LM",30,4,19,0,"precision",0,"BioMed LM"
"2","1","BioMed LM",30,4,19,0,"recall",0,"BioMed LM"
"3","1","BioMed LM",30,4,19,0,"f1",NA,"BioMed LM"
"4","1","ChatGPT",45,4,4,0,"precision",0,"ChatGPT"
"5","1","ChatGPT",45,4,4,0,"recall",0,"ChatGPT"
"6","1","ChatGPT",45,4,4,0,"f1",NA,"ChatGPT"
"7","1","ChatGPT 4",45,4,4,0,"precision",0,NA
"8","1","ChatGPT 4",45,4,4,0,"recall",0,NA
"9","1","ChatGPT 4",45,4,4,0,"f1",NA,NA
"10","1","Galactica",46,4,3,0,"precision",0,"Galactica"
"11","1","Galactica",46,4,3,0,"recall",0,"Galactica"
"12","1","Galactica",46,4,3,0,"f1",NA,"Galactica"
"13","1","Perplexity.ai",32,4,17,0,"precision",0,"Perplexity.ai"
"14","1","Perplexity.ai",32,4,17,0,"recall",0,"Perplexity.ai"
"15","1","Perplexity.ai",32,4,17,0,"f1",NA,"Perplexity.ai"
"16","1","clinical",0,4,14,0,"precision",0,"clinical"
"17","1","clinical",0,4,14,0,"recall",0,"clinical"
"18","1","clinical",0,4,14,0,"f1",NA,"clinical"
"19","1","combined",14,4,0,0,"precision",NA,"combined"
"20","1","combined",14,4,0,0,"recall",0,"combined"
"21","1","combined",14,4,0,0,"f1",NA,"combined"
"22","2","BioMed LM",37,2,24,1,"precision",0.04,"BioMed LM"
"23","2","BioMed LM",37,2,24,1,"recall",0.333333333333333,"BioMed LM"
"24","2","BioMed LM",37,2,24,1,"f1",0.0714285714285714,"BioMed LM"
"25","2","ChatGPT",52,2,9,1,"precision",0.1,"ChatGPT"
"26","2","ChatGPT",52,2,9,1,"recall",0.333333333333333,"ChatGPT"
"27","2","ChatGPT",52,2,9,1,"f1",0.153846153846154,"ChatGPT"
"28","2","ChatGPT 4",46,1,15,2,"precision",0.117647058823529,NA
"29","2","ChatGPT 4",46,1,15,2,"recall",0.666666666666667,NA
"30","2","ChatGPT 4",46,1,15,2,"f1",0.2,NA
"31","2","Galactica",58,3,3,0,"precision",0,"Galactica"
"32","2","Galactica",58,3,3,0,"recall",0,"Galactica"
"33","2","Galactica",58,3,3,0,"f1",NA,"Galactica"
"34","2","Perplexity.ai",57,3,4,0,"precision",0,"Perplexity.ai"
"35","2","Perplexity.ai",57,3,4,0,"recall",0,"Perplexity.ai"
"36","2","Perplexity.ai",57,3,4,0,"f1",NA,"Perplexity.ai"
"37","2","clinical",2,2,12,1,"precision",0.0769230769230769,"clinical"
"38","2","clinical",2,2,12,1,"recall",0.333333333333333,"clinical"
"39","2","clinical",2,2,12,1,"f1",0.125,"clinical"
"40","2","combined",8,2,6,1,"precision",0.142857142857143,"combined"
"41","2","combined",8,2,6,1,"recall",0.333333333333333,"combined"
"42","2","combined",8,2,6,1,"f1",0.2,"combined"
"43","3","BioMed LM",83,5,106,1,"precision",0.00934579439252336,"BioMed LM"
"44","3","BioMed LM",83,5,106,1,"recall",0.166666666666667,"BioMed LM"
"45","3","BioMed LM",83,5,106,1,"f1",0.0176991150442478,"BioMed LM"
"46","3","ChatGPT",173,5,16,1,"precision",0.0588235294117647,"ChatGPT"
"47","3","ChatGPT",173,5,16,1,"recall",0.166666666666667,"ChatGPT"
"48","3","ChatGPT",173,5,16,1,"f1",0.0869565217391304,"ChatGPT"
"49","3","ChatGPT 4",173,4,16,2,"precision",0.111111111111111,NA
"50","3","ChatGPT 4",173,4,16,2,"recall",0.333333333333333,NA
"51","3","ChatGPT 4",173,4,16,2,"f1",0.166666666666667,NA
"52","3","Galactica",184,6,5,0,"precision",0,"Galactica"
"53","3","Galactica",184,6,5,0,"recall",0,"Galactica"
"54","3","Galactica",184,6,5,0,"f1",NA,"Galactica"
"55","3","Perplexity.ai",149,6,40,0,"precision",0,"Perplexity.ai"
"56","3","Perplexity.ai",149,6,40,0,"recall",0,"Perplexity.ai"
"57","3","Perplexity.ai",149,6,40,0,"f1",NA,"Perplexity.ai"
"58","3","clinical",6,5,24,1,"precision",0.04,"clinical"
"59","3","clinical",6,5,24,1,"recall",0.166666666666667,"clinical"
"60","3","clinical",6,5,24,1,"f1",0.0645161290322581,"clinical"
"61","3","combined",23,5,7,1,"precision",0.125,"combined"
"62","3","combined",23,5,7,1,"recall",0.166666666666667,"combined"
"63","3","combined",23,5,7,1,"f1",0.142857142857143,"combined"
"64","4","BioMed LM",28,2,12,1,"precision",0.0769230769230769,"BioMed LM"
"65","4","BioMed LM",28,2,12,1,"recall",0.333333333333333,"BioMed LM"
"66","4","BioMed LM",28,2,12,1,"f1",0.125,"BioMed LM"
"67","4","ChatGPT",29,3,11,0,"precision",0,"ChatGPT"
"68","4","ChatGPT",29,3,11,0,"recall",0,"ChatGPT"
"69","4","ChatGPT",29,3,11,0,"f1",NA,"ChatGPT"
"70","4","ChatGPT 4",34,2,6,1,"precision",0.142857142857143,NA
"71","4","ChatGPT 4",34,2,6,1,"recall",0.333333333333333,NA
"72","4","ChatGPT 4",34,2,6,1,"f1",0.2,NA
"73","4","Galactica",38,3,2,0,"precision",0,"Galactica"
"74","4","Galactica",38,3,2,0,"recall",0,"Galactica"
"75","4","Galactica",38,3,2,0,"f1",NA,"Galactica"
"76","4","Perplexity.ai",31,2,9,1,"precision",0.1,"Perplexity.ai"
"77","4","Perplexity.ai",31,2,9,1,"recall",0.333333333333333,"Perplexity.ai"
"78","4","Perplexity.ai",31,2,9,1,"f1",0.153846153846154,"Perplexity.ai"
"79","4","clinical",1,3,12,0,"precision",0,"clinical"
"80","4","clinical",1,3,12,0,"recall",0,"clinical"
"81","4","clinical",1,3,12,0,"f1",NA,"clinical"
"82","4","combined",9,3,4,0,"precision",0,"combined"
"83","4","combined",9,3,4,0,"recall",0,"combined"
"84","4","combined",9,3,4,0,"f1",NA,"combined"
"85","5","BioMed LM",19,3,18,1,"precision",0.0526315789473684,"BioMed LM"
"86","5","BioMed LM",19,3,18,1,"recall",0.25,"BioMed LM"
"87","5","BioMed LM",19,3,18,1,"f1",0.0869565217391304,"BioMed LM"
"88","5","ChatGPT",30,3,7,1,"precision",0.125,"ChatGPT"
"89","5","ChatGPT",30,3,7,1,"recall",0.25,"ChatGPT"
"90","5","ChatGPT",30,3,7,1,"f1",0.166666666666667,"ChatGPT"
"91","5","ChatGPT 4",30,1,7,3,"precision",0.3,NA
"92","5","ChatGPT 4",30,1,7,3,"recall",0.75,NA
"93","5","ChatGPT 4",30,1,7,3,"f1",0.428571428571428,NA
"94","5","Galactica",27,1,10,3,"precision",0.230769230769231,"Galactica"
"95","5","Galactica",27,1,10,3,"recall",0.75,"Galactica"
"96","5","Galactica",27,1,10,3,"f1",0.352941176470588,"Galactica"
"97","5","Perplexity.ai",28,1,9,3,"precision",0.25,"Perplexity.ai"
"98","5","Perplexity.ai",28,1,9,3,"recall",0.75,"Perplexity.ai"
"99","5","Perplexity.ai",28,1,9,3,"f1",0.375,"Perplexity.ai"
"100","5","clinical",2,2,9,2,"precision",0.181818181818182,"clinical"
"101","5","clinical",2,2,9,2,"recall",0.5,"clinical"
"102","5","clinical",2,2,9,2,"f1",0.266666666666667,"clinical"
"103","5","combined",5,1,6,3,"precision",0.333333333333333,"combined"
"104","5","combined",5,1,6,3,"recall",0.75,"combined"
"105","5","combined",5,1,6,3,"f1",0.461538461538462,"combined"
"106","6","BioMed LM",26,4,28,0,"precision",0,"BioMed LM"
"107","6","BioMed LM",26,4,28,0,"recall",0,"BioMed LM"
"108","6","BioMed LM",26,4,28,0,"f1",NA,"BioMed LM"
"109","6","ChatGPT",50,3,4,1,"precision",0.2,"ChatGPT"
"110","6","ChatGPT",50,3,4,1,"recall",0.25,"ChatGPT"
"111","6","ChatGPT",50,3,4,1,"f1",0.222222222222222,"ChatGPT"
"112","6","ChatGPT 4",53,3,1,1,"precision",0.5,NA
"113","6","ChatGPT 4",53,3,1,1,"recall",0.25,NA
"114","6","ChatGPT 4",53,3,1,1,"f1",0.333333333333333,NA
"115","6","Galactica",53,3,1,1,"precision",0.5,"Galactica"
"116","6","Galactica",53,3,1,1,"recall",0.25,"Galactica"
"117","6","Galactica",53,3,1,1,"f1",0.333333333333333,"Galactica"
"118","6","Perplexity.ai",43,2,11,2,"precision",0.153846153846154,"Perplexity.ai"
"119","6","Perplexity.ai",43,2,11,2,"recall",0.5,"Perplexity.ai"
"120","6","Perplexity.ai",43,2,11,2,"f1",0.235294117647059,"Perplexity.ai"
"121","6","clinical",0,3,9,1,"precision",0.1,"clinical"
"122","6","clinical",0,3,9,1,"recall",0.25,"clinical"
"123","6","clinical",0,3,9,1,"f1",0.142857142857143,"clinical"
"124","6","combined",9,3,0,1,"precision",1,"combined"
"125","6","combined",9,3,0,1,"recall",0.25,"combined"
"126","6","combined",9,3,0,1,"f1",0.4,"combined"
"127","7","BioMed LM",10,5,13,0,"precision",0,"BioMed LM"
"128","7","BioMed LM",10,5,13,0,"recall",0,"BioMed LM"
"129","7","BioMed LM",10,5,13,0,"f1",NA,"BioMed LM"
"130","7","ChatGPT",19,5,4,0,"precision",0,"ChatGPT"
"131","7","ChatGPT",19,5,4,0,"recall",0,"ChatGPT"
"132","7","ChatGPT",19,5,4,0,"f1",NA,"ChatGPT"
"133","7","ChatGPT 4",17,5,6,0,"precision",0,NA
"134","7","ChatGPT 4",17,5,6,0,"recall",0,NA
"135","7","ChatGPT 4",17,5,6,0,"f1",NA,NA
"136","7","Galactica",23,5,0,0,"precision",NA,"Galactica"
"137","7","Galactica",23,5,0,0,"recall",0,"Galactica"
"138","7","Galactica",23,5,0,0,"f1",NA,"Galactica"
"139","7","Perplexity.ai",18,5,5,0,"precision",0,"Perplexity.ai"
"140","7","Perplexity.ai",18,5,5,0,"recall",0,"Perplexity.ai"
"141","7","Perplexity.ai",18,5,5,0,"f1",NA,"Perplexity.ai"
"142","7","clinical",0,5,7,0,"precision",0,"clinical"
"143","7","clinical",0,5,7,0,"recall",0,"clinical"
"144","7","clinical",0,5,7,0,"f1",NA,"clinical"
"145","7","combined",6,5,1,0,"precision",0,"combined"
"146","7","combined",6,5,1,0,"recall",0,"combined"
"147","7","combined",6,5,1,0,"f1",NA,"combined"
"148","8","BioMed LM",10,4,8,0,"precision",0,"BioMed LM"
"149","8","BioMed LM",10,4,8,0,"recall",0,"BioMed LM"
"150","8","BioMed LM",10,4,8,0,"f1",NA,"BioMed LM"
"151","8","ChatGPT",15,3,3,1,"precision",0.25,"ChatGPT"
"152","8","ChatGPT",15,3,3,1,"recall",0.25,"ChatGPT"
"153","8","ChatGPT",15,3,3,1,"f1",0.25,"ChatGPT"
"154","8","ChatGPT 4",16,2,2,2,"precision",0.5,NA
"155","8","ChatGPT 4",16,2,2,2,"recall",0.5,NA
"156","8","ChatGPT 4",16,2,2,2,"f1",0.5,NA
"157","8","Galactica",17,2,1,2,"precision",0.666666666666667,"Galactica"
"158","8","Galactica",17,2,1,2,"recall",0.5,"Galactica"
"159","8","Galactica",17,2,1,2,"f1",0.571428571428572,"Galactica"
"160","8","Perplexity.ai",13,2,5,2,"precision",0.285714285714286,"Perplexity.ai"
"161","8","Perplexity.ai",13,2,5,2,"recall",0.5,"Perplexity.ai"
"162","8","Perplexity.ai",13,2,5,2,"f1",0.363636363636364,"Perplexity.ai"
"163","8","clinical",1,1,3,3,"precision",0.5,"clinical"
"164","8","clinical",1,1,3,3,"recall",0.75,"clinical"
"165","8","clinical",1,1,3,3,"f1",0.6,"clinical"
"166","8","combined",2,2,2,2,"precision",0.5,"combined"
"167","8","combined",2,2,2,2,"recall",0.5,"combined"
"168","8","combined",2,2,2,2,"f1",0.5,"combined"
"169","9","BioMed LM",35,4,16,0,"precision",0,"BioMed LM"
"170","9","BioMed LM",35,4,16,0,"recall",0,"BioMed LM"
"171","9","BioMed LM",35,4,16,0,"f1",NA,"BioMed LM"
"172","9","ChatGPT",45,3,6,1,"precision",0.142857142857143,"ChatGPT"
"173","9","ChatGPT",45,3,6,1,"recall",0.25,"ChatGPT"
"174","9","ChatGPT",45,3,6,1,"f1",0.181818181818182,"ChatGPT"
"175","9","ChatGPT 4",47,2,4,2,"precision",0.333333333333333,NA
"176","9","ChatGPT 4",47,2,4,2,"recall",0.5,NA
"177","9","ChatGPT 4",47,2,4,2,"f1",0.4,NA
"178","9","Galactica",43,4,8,0,"precision",0,"Galactica"
"179","9","Galactica",43,4,8,0,"recall",0,"Galactica"
"180","9","Galactica",43,4,8,0,"f1",NA,"Galactica"
"181","9","Perplexity.ai",38,3,13,1,"precision",0.0714285714285714,"Perplexity.ai"
"182","9","Perplexity.ai",38,3,13,1,"recall",0.25,"Perplexity.ai"
"183","9","Perplexity.ai",38,3,13,1,"f1",0.111111111111111,"Perplexity.ai"
"184","9","clinical",1,3,17,1,"precision",0.0555555555555556,"clinical"
"185","9","clinical",1,3,17,1,"recall",0.25,"clinical"
"186","9","clinical",1,3,17,1,"f1",0.0909090909090909,"clinical"
"187","9","combined",16,4,2,0,"precision",0,"combined"
"188","9","combined",16,4,2,0,"recall",0,"combined"
"189","9","combined",16,4,2,0,"f1",NA,"combined"
"190","10","BioMed LM",31,3,8,3,"precision",0.272727272727273,"BioMed LM"
"191","10","BioMed LM",31,3,8,3,"recall",0.5,"BioMed LM"
"192","10","BioMed LM",31,3,8,3,"f1",0.352941176470588,"BioMed LM"
"193","10","ChatGPT",24,1,15,5,"precision",0.25,"ChatGPT"
"194","10","ChatGPT",24,1,15,5,"recall",0.833333333333333,"ChatGPT"
"195","10","ChatGPT",24,1,15,5,"f1",0.384615384615385,"ChatGPT"
"196","10","ChatGPT 4",36,4,3,2,"precision",0.4,NA
"197","10","ChatGPT 4",36,4,3,2,"recall",0.333333333333333,NA
"198","10","ChatGPT 4",36,4,3,2,"f1",0.363636363636364,NA
"199","10","Galactica",36,3,3,3,"precision",0.5,"Galactica"
"200","10","Galactica",36,3,3,3,"recall",0.5,"Galactica"
"201","10","Galactica",36,3,3,3,"f1",0.5,"Galactica"
"202","10","Perplexity.ai",21,1,18,5,"precision",0.217391304347826,"Perplexity.ai"
"203","10","Perplexity.ai",21,1,18,5,"recall",0.833333333333333,"Perplexity.ai"
"204","10","Perplexity.ai",21,1,18,5,"f1",0.344827586206897,"Perplexity.ai"
"205","10","clinical",0,1,16,5,"precision",0.238095238095238,"clinical"
"206","10","clinical",0,1,16,5,"recall",0.833333333333333,"clinical"
"207","10","clinical",0,1,16,5,"f1",0.37037037037037,"clinical"
"208","10","combined",11,1,5,5,"precision",0.5,"combined"
"209","10","combined",11,1,5,5,"recall",0.833333333333333,"combined"
"210","10","combined",11,1,5,5,"f1",0.625,"combined"
"211",NA,"BioMed LM",1,0,0,0,"precision",NA,"BioMed LM"
"212",NA,"BioMed LM",1,0,0,0,"recall",NA,"BioMed LM"
"213",NA,"BioMed LM",1,0,0,0,"f1",NA,"BioMed LM"
"214",NA,"ChatGPT",1,0,0,0,"precision",NA,"ChatGPT"
"215",NA,"ChatGPT",1,0,0,0,"recall",NA,"ChatGPT"
"216",NA,"ChatGPT",1,0,0,0,"f1",NA,"ChatGPT"
"217",NA,"ChatGPT 4",0,0,1,0,"precision",0,NA
"218",NA,"ChatGPT 4",0,0,1,0,"recall",NA,NA
"219",NA,"ChatGPT 4",0,0,1,0,"f1",NA,NA
"220",NA,"Galactica",1,0,0,0,"precision",NA,"Galactica"
"221",NA,"Galactica",1,0,0,0,"recall",NA,"Galactica"
"222",NA,"Galactica",1,0,0,0,"f1",NA,"Galactica"
"223",NA,"Perplexity.ai",1,0,0,0,"precision",NA,"Perplexity.ai"
"224",NA,"Perplexity.ai",1,0,0,0,"recall",NA,"Perplexity.ai"
"225",NA,"Perplexity.ai",1,0,0,0,"f1",NA,"Perplexity.ai"
